Wohnviertel id;Wohnviertel;Age bands;Swiss men;Swiss women;Non-swiss men;Non-swiss women
1;Altstadt Grossbasel;0-4;18;29;14;13
1;Altstadt Grossbasel;5-9;18;31;3;7
1;Altstadt Grossbasel;10-14;20;17;9;2
1;Altstadt Grossbasel;15-19;33;25;14;9
1;Altstadt Grossbasel;20-24;43;68;22;23
1;Altstadt Grossbasel;25-29;68;62;48;35
1;Altstadt Grossbasel;30-34;57;50;29;51
1;Altstadt Grossbasel;35-39;52;47;49;43
1;Altstadt Grossbasel;40-44;60;51;45;41
1;Altstadt Grossbasel;45-49;83;49;44;29
1;Altstadt Grossbasel;50-54;96;80;48;33
1;Altstadt Grossbasel;55-59;90;83;31;21
1;Altstadt Grossbasel;60-64;80;74;17;15
1;Altstadt Grossbasel;65-69;78;73;6;10
1;Altstadt Grossbasel;70-74;61;53;7;4
1;Altstadt Grossbasel;75-79;32;63;8;0
1;Altstadt Grossbasel;80-84;29;27;2;1
1;Altstadt Grossbasel;85-89;16;25;0;3
1;Altstadt Grossbasel;90-94;3;9;0;0
1;Altstadt Grossbasel;95-99;0;1;0;0
1;Altstadt Grossbasel;100-104;0;0;0;0
1;Altstadt Grossbasel;105-109;0;0;0;0
1;Altstadt Grossbasel;110-114;0;0;0;0
2;Vorstädte;0-4;46;47;50;35
2;Vorstädte;5-9;35;26;31;33
2;Vorstädte;10-14;20;26;42;28
2;Vorstädte;15-19;42;36;24;42
2;Vorstädte;20-24;88;103;33;42
2;Vorstädte;25-29;124;123;109;104
2;Vorstädte;30-34;114;79;132;149
2;Vorstädte;35-39;81;84;112;106
2;Vorstädte;40-44;66;55;105;109
2;Vorstädte;45-49;98;79;103;77
2;Vorstädte;50-54;138;89;93;89
2;Vorstädte;55-59;99;108;54;33
2;Vorstädte;60-64;94;106;41;34
2;Vorstädte;65-69;96;127;20;14
2;Vorstädte;70-74;97;127;18;17
2;Vorstädte;75-79;91;143;7;11
2;Vorstädte;80-84;63;105;8;4
2;Vorstädte;85-89;48;84;7;8
2;Vorstädte;90-94;17;63;0;2
2;Vorstädte;95-99;3;16;0;0
2;Vorstädte;100-104;0;2;0;0
2;Vorstädte;105-109;0;1;0;0
2;Vorstädte;110-114;0;0;0;0
3;Am Ring;0-4;135;138;103;104
3;Am Ring;5-9;101;114;77;84
3;Am Ring;10-14;101;108;48;56
3;Am Ring;15-19;112;133;51;50
3;Am Ring;20-24;201;298;98;103
3;Am Ring;25-29;257;316;225;238
